date,Trade_id,name,trade_type,token,time,exchange,tradingsymbol,quantity,strike_price,market_price,trigger_price,num_sl_hits,status,trns_id,gap,expiry_date,unique_order_id,text,producttype
2024-04-03,_call_SL_0,NIFTY,stoploss_buy,45791,10:40,NFO,,50,2250000.0,132.35,127.35,0,trigger pending,0300065ANKN1226,5000,2024-04-04,0300065ANKN1226,,INTRADAY
2024-04-03,_put_SL_0,NIFTY,stoploss_buy,45790,10:40,NFO,,50,2245000.0,132.35,127.35,0,trigger pending,0300066ANKN1226,5000,2024-04-04,0300066ANKN1226,,INTRADAY
2024-04-03,_call_0,NIFTY,normal_sell,45781,10:45,NFO,,50,2245000.0,58.75,58.75,0,complete,0300069ANKN1226,5000,2024-04-04,0300069ANKN1226,,INTRADAY
2024-04-03,_put_0,NIFTY,normal_sell,45780,10:45,NFO,,50,2240000.0,61.15,61.15,0,complete,0300070ANKN1226,5000,2024-04-04,0300070ANKN1226,,INTRADAY
2024-04-03,_call_SL_0,NIFTY,stoploss_buy,45781,10:45,NFO,,50,2245000.0,124.9,119.9,0,trigger pending,0300071ANKN1226,5000,2024-04-04,0300071ANKN1226,,INTRADAY
2024-04-03,_put_SL_0,NIFTY,stoploss_buy,45780,10:45,NFO,,50,2240000.0,124.9,119.9,0,trigger pending,0300072ANKN1226,5000,2024-04-04,0300072ANKN1226,,INTRADAY
2024-04-03,_call_0,NIFTY,normal_sell,45781,10:50,NFO,,50,2245000.0,50.8,50.8,0,complete,0300073ANKN1226,5000,2024-04-04,0300073ANKN1226,,INTRADAY
2024-04-03,_put_0,NIFTY,normal_sell,45780,10:50,NFO,,50,2240000.0,66.05,66.05,0,complete,0300074ANKN1226,5000,2024-04-04,0300074ANKN1226,,INTRADAY
2024-04-03,_call_SL_0,NIFTY,stoploss_buy,45781,10:50,NFO,,50,2245000.0,121.85,116.85,0,trigger pending,0300075ANKN1226,5000,2024-04-04,0300075ANKN1226,,INTRADAY
2024-04-03,_put_SL_0,NIFTY,stoploss_buy,45780,10:50,NFO,,50,2240000.0,121.85,116.85,0,trigger pending,0300076ANKN1226,5000,2024-04-04,0300076ANKN1226,,INTRADAY
2024-04-03,_call_0,NIFTY,normal_sell,45781,10:55,NFO,,50,2245000.0,54.45,54.45,0,complete,0300077ANKN1226,5000,2024-04-04,0300077ANKN1226,,INTRADAY
2024-04-03,_put_0,NIFTY,normal_sell,45780,10:55,NFO,,50,2240000.0,61.45,61.45,0,trigger pending,0300078ANKN1226,5000,2024-04-04,0300078ANKN1226,,INTRADAY
2024-04-03,_call_SL_0,NIFTY,stoploss_buy,45781,10:55,NFO,,50,2245000.0,120.9,115.9,0,trigger pending,0300079ANKN1226,5000,2024-04-04,0300079ANKN1226,,INTRADAY
2024-04-03,_put_SL_0,NIFTY,stoploss_buy,45780,10:55,NFO,,50,2240000.0,120.9,115.9,0,trigger pending,0300080ANKN1226,5000,2024-04-04,0300080ANKN1226,,INTRADAY
2024-04-03,_call_0,NIFTY,normal_sell,45781,11:00,NFO,,50,2245000.0,58.15,58.15,0,complete,0300081ANKN1226,5000,2024-04-04,0300081ANKN1226,,INTRADAY
2024-04-03,_put_0,NIFTY,normal_sell,45780,11:00,NFO,,50,2240000.0,55.35,55.35,0,trigger pending,0300082ANKN1226,5000,2024-04-04,0300082ANKN1226,,INTRADAY
2024-04-03,_call_SL_0,NIFTY,stoploss_buy,45781,11:00,NFO,,50,2245000.0,118.5,113.5,0,trigger pending,0300083ANKN1226,5000,2024-04-04,0300083ANKN1226,,INTRADAY
2024-04-03,_put_SL_0,NIFTY,stoploss_buy,45780,11:00,NFO,,50,2240000.0,118.5,113.5,0,trigger pending,0300084ANKN1226,5000,2024-04-04,0300084ANKN1226,,INTRADAY
2024-04-03,_call_0,NIFTY,normal_sell,45781,11:05,NFO,,50,2245000.0,58.0,58.0,0,complete,0300085ANKN1226,5000,2024-04-04,0300085ANKN1226,,INTRADAY
2024-04-03,_put_0,NIFTY,normal_sell,45780,11:05,NFO,,50,2240000.0,55.65,55.65,0,complete,0300086ANKN1226,5000,2024-04-04,0300086ANKN1226,,INTRADAY
2024-04-03,_call_SL_0,NIFTY,stoploss_buy,45781,11:05,NFO,,50,2245000.0,118.65,113.65,0,trigger pending,0300087ANKN1226,5000,2024-04-04,0300087ANKN1226,,INTRADAY
2024-04-03,_put_SL_0,NIFTY,stoploss_buy,45780,11:05,NFO,,50,2240000.0,118.65,113.65,0,trigger pending,0300088ANKN1226,5000,2024-04-04,0300088ANKN1226,,INTRADAY
2024-04-03,_call_0,NIFTY,normal_sell,45781,11:10,NFO,,50,2245000.0,58.6,58.6,0,complete,0300097ANKN1226,5000,2024-04-04,0300097ANKN1226,,INTRADAY
2024-04-03,_put_0,NIFTY,normal_sell,45780,11:10,NFO,,50,2240000.0,54.5,54.5,0,complete,0300098ANKN1226,5000,2024-04-04,0300098ANKN1226,,INTRADAY
